
[6/1799] OK  bobleer/dsh-acp-for-bitfun
[3/1799] OK  irmia2026/irmia_devkit_open
[5/1799] OK  omdsh-dev/dsh-custom-tool
[1/1799] OK  openma-ai/open-managed-agents
[7/1799] OK  omdsh-dev/fabric
[8/1799] OK  LoserFox/dsh-git-identity
[9/1799] OK  gfhdhytghd/Hypr-Agent-Protal
[12/1799] OK  lhh010/dsh-bash-encoding
[10/1799] OK  LoserFox/telegram
[11/1799] OK  scotthuang/agent-knock-knock
[13/1799] OK  omdsh-dev/dsh-data-agent
[4/1799] OK  834063245-creator/HoloGram
[15/1799] OK  Chinesezjc/dsh-interconnect
[14/1799] OK  coppynight/dsh-doctor
[17/1799] OK  omdsh-dev/dsh-plugin-check
[16/1799] OK  whiteguo233/dsh-openbiliclaw
[19/1799] OK  omdsh-dev/dsh-tool-csv
[18/1799] OK  omdsh-dev/dsh-security-audit
[20/1799] OK  omdsh-dev/dsh-toolkit
[22/1799] OK  whiteguo233/dsh-cc-connect
[24/1799] OK  renat3u/dsh-paseo
[21/1799] OK  AtomicsLaboratory/atomstudio
[25/1799] OK  omdsh-dev/dsh-plugin-dev
[23/1799] OK  omdsh-dev/dsh-mnemon
[26/1799] OK  omdsh-dev/dsh-tool-calculator
[28/1799] OK  omdsh-dev/dsh-tool-encoding
[27/1799] OK  omdsh-dev/dsh-tool-diff
[29/1799] OK  omdsh-dev/dsh-tool-json
[30/1799] OK  omdsh-dev/dsh-tool-markdown
[31/1799] OK  omdsh-dev/dsh-tool-regex
[32/1799] OK  omdsh-dev/dsh-tool-schema
[33/1799] OK  omdsh-dev/dsh-tool-stat
[34/1799] OK  omdsh-dev/dsh-tool-time
[35/1799] OK  vibeinging/dsh-trace
[36/1799] OK  omdsh-dev/sandbox-micro
[37/1799] OK  Fisfzy/zotero-harvest
[39/1799] OK  omdsh-dev/dsh-inspect
[38/1799] OK  fakechris/dsh-harness-ops
[40/1799] OK  THU-MAIC/dsh-openmaic
[41/1799] OK  HuanLinOTO/dsh-plugin-mineru
[2/1799] FAIL try-works/role-model 128
[42/1799] OK  Moeblack/dsh-prompt-studio
[44/1799] OK  UynajGI/dsh-ssh
[45/1799] OK  vibeinging/dsh-tool-search
[43/1799] OK  lzszq/dsh-scholar
[46/1799] OK  bill9109/dsh-webbridge
[48/1799] OK  Fisfzy/math-lean
[47/1799] OK  Fisfzy/ego-browser
[49/1799] OK  omdsh-dev/plugin-template
[50/1799] OK  omdsh-dev/Qwen-MM-Plugins
[51/1799] OK  omdsh-dev/sandbox-mxc
[52/1799] OK  omdsh-dev/sandbox-nono
[54/1799] OK  Fisfzy/zotero-wave-rag
[53/1799] OK  omdsh-dev/web-components
[56/1799] OK  omdsh-dev/DSH-better-sidebar
[57/1799] OK  alingalingling/ui-status-label
[58/1799] OK  Small-tailqwq/dsh-deep-whale
[60/1799] OK  ccq1/dsh-side-panel
[63/1799] OK  omdsh-dev/dsh-annotation
[59/1799] OK  dingyi222666/dsh-focus-chat
[61/1799] OK  lhh010/dsh-ui-progress
[62/1799] OK  lhh010/dsh-ui-whale
[64/1799] OK  chen-001/dsh-chat-width
[55/1799] OK  zhu1090093659/dsh-web-ui
[68/1799] OK  vlln/dsh-navbar
[67/1799] OK  lhh010/dsh-input-history
[69/1799] OK  lhh010/dsh-paste-input
[66/1799] OK  omdsh-dev/dsh-genui
[65/1799] OK  william-jin-cmu/dsh-companion
[70/1799] OK  gameswu/dsh-plugin-background
[73/1799] OK  qyw233/dsh-deeplink
[72/1799] OK  Small-tailqwq/dsh-deepcel
[74/1799] OK  lehhair/dsh-diff-viewer
[71/1799] OK  renat3u/tonghuashun-webui
[75/1799] OK  bill9109/dsh-drag-and-drop
[76/1799] OK  LaplaceYoung/dsh-qq2006
[79/1799] OK  AdamPlatin123/dsh-ths-skin
[80/1799] OK  Small-tailqwq/dsh-tps
[77/1799] OK  dingyi222666/dsh-session-notification
[78/1799] OK  0xsline/dsh-spotlight
[81/1799] OK  havingautism/dsh-ultra-ui
[82/1799] OK  bill9109/dsh-web-ui-notify
[85/1799] OK  zwrong/pi-discuss-mode
[83/1799] OK  omdsh-dev/ex-setting
[86/1799] OK  Anionex/dsh-turn-rewind
[87/1799] OK  hellodigua/dsh-share
[84/1799] OK  vlln/whale-girl
[88/1799] OK  Moeblack/dsh-message-edit
[90/1799] OK  omdsh-dev/dsh-session-health
[89/1799] OK  Zhenyu98/dsh-context-doctor
[93/1799] OK  renat3u/dsh-web-archive
[91/1799] OK  william-jin-cmu/dsh-evolve
[92/1799] OK  csyangwen/dsh-memory-evolve
[94/1799] OK  Moeblack/deepseek-manners
[95/1799] OK  vibeinging/dsh-agent-budget
[97/1799] OK  omdsh-dev/dsh-kb-sieve
[96/1799] OK  bill9109/dsh-conversation-share
[98/1799] OK  zzh-newlearner/dsh-postmortem
[99/1799] OK  Tieboyh/dsh-session-search
[100/1799] OK  Buyi-wsgzg/dsh-sidechain
[101/1799] OK  ilharp/dsh-tool-approval
[102/1799] OK  vibeinging/dsh-turn-navigator
[105/1799] OK  good-boy4069/Deepseek-omnimodal
[104/1799] OK  Anionex/dsh-vision-toolkit
[106/1799] OK  Anionex/dsh-computer-use
[103/1799] OK  whyihaveyou/dsh-suite
[107/1799] OK  william-jin-cmu/dsh-vision
[109/1799] OK  exoharness/exo
[111/1799] OK  firstintent/ccteam
[113/1799] OK  btspoony/mstar-harness
[114/1799] OK  icetomoyo/dsh_workflow
[115/1799] OK  zzir/agents-go
[117/1799] OK  NanmiCoder/dsh-agent-teams
[116/1799] OK  LoserFox/distill
[112/1799] OK  aresbit/MateBot
[108/1799] OK  liliMozi/openhanako
[119/1799] OK  vlln/dsh-loop
[118/1799] OK  titanwings/dsh-automation
[110/1799] OK  SII-Holos/synergy
[120/1799] OK  titanwings/dsh-plannotator
[121/1799] OK  vlln/dsh-task-status
[124/1799] OK  william-jin-cmu/dsh-artifact
[123/1799] OK  btspoony/dsh-advisor
[125/1799] OK  omdsh-dev/dsh-deep-research
[126/1799] OK  yuezengwu/dsh-explain
[127/1799] OK  btspoony/dsh-llm-fallbacks
[122/1799] OK  vibeinging/dsh-work
[128/1799] OK  fuhefei/dsh-sentinel
[129/1799] OK  fakechris/dsh-track
[131/1799] OK  edison7009/EchoBird
[134/1799] OK  0xsline/awesome-deepseek-harness
[132/1799] OK  AdamPlatin123/awesome-dsh-plugins
[130/1799] OK  TongDucThanhNam/eragear-code-copilot
[135/1799] OK  huiliyi37/dsh-tianshu-tui
[133/1799] OK  Octo-o-o-o/deepseek-harness-applicants
[136/1799] OK  GitHubxsy/agent-skills
[138/1799] OK  omdsh-dev/dsh-open-in-vscode
[137/1799] OK  omdsh-dev/dsh-at-file
[139/1799] OK  omdsh-dev/dsh-notification
[141/1799] OK  SenmuuuuW/dsh-group-photo
[142/1799] OK  ZSeven-W/dsh-openpencil
[144/1799] OK  Nagi-ovo/dsh-visualize
[145/1799] OK  Alex-Yanggg/awesome-DSH-plugin
[143/1799] OK  hust-open-atom-club/oh-dsh-desktop
[147/1799] OK  omdsh-dev/dsh-gomoku
[149/1799] OK  hellodigua/dsh-emoji
[150/1799] OK  chen-001/dsh-grok-tui
[148/1799] OK  CanglongCl/dsh-web-review
